Timestamp,Area Name,How Badly your area is affected?,Type of your Residence,How badly you are personally affected,How was the Government's response
11/30/2015 22:06:01,Velachery,Bad,Apartment,Bad,Average
11/30/2015 22:27:28,Puzhithivakkam,Average,Individual House,Average,Pathetic
11/30/2015 22:36:19,"Mahalakshmi nagar, Chennai 73",Bad,Apartment,Bad,Pathetic
11/30/2015 22:38:09,Okkiyampet,Average,Apartment,Average,Average
11/30/2015 22:45:08,Thoraipakkam,Average,Apartment,Average,Pathetic
11/30/2015 22:53:34,T.Nagar,Not at All,Apartment,Average,Average
11/30/2015 23:00:03,Nolambur,Average,Individual House,Average,Pathetic
11/30/2015 23:07:48,Anna nagar west ( vasantham colony ),Average,Apartment,Bad,Pathetic
11/30/2015 23:10:45,"Pallikkaranai, Sai Balaji Nagar",Bad,Individual House,Bad,Pathetic
11/30/2015 23:15:24,karapakkam,Average,Apartment,Average,Pathetic
11/30/2015 23:29:31,Perumbakkam,Bad,Apartment,Bad,Pathetic
11/30/2015 23:47:28,Choolaimedu,Not at All,Apartment,Not al All,Good
12/1/2015 0:22:15,Kilpauk,Average,Apartment,Average,Pathetic
12/1/2015 0:29:26,Somewhere in delhi,Not at All,Apartment,Not al All,Pathetic
12/1/2015 0:39:02,Adyar,Not at All,Apartment,Average,Pathetic
12/1/2015 0:58:20,Besant Nagar,Not at All,Individual House,Not al All,Average
12/1/2015 1:35:48,Gummidipundi,Not at All,Individual House,Not al All,Good
12/1/2015 1:37:40,Ashok Nagar,Average,Individual House,Not al All,Good
12/1/2015 1:38:31,K.K. Nagar,Bad,Apartment,Bad,Average
12/1/2015 1:56:46,"Bhupathinagar, Sholinganallur",Bad,Apartment,Bad,Pathetic
12/1/2015 2:17:10,Kotturpuram ,Average,Individual House,Average,Average
12/1/2015 3:56:15,"Srinagar colony, little mount",Average,Apartment,Bad,Pathetic
12/1/2015 4:03:55,Rajakilpakkam,Average,Individual House,Not al All,Average
12/1/2015 5:22:22,Mogappair West,Average,Individual House,Not al All,Pathetic
12/1/2015 7:11:24,Thirumullaivoyal,Not at All,Individual House,Average,Average
12/1/2015 9:10:52,Medvakkam Jayachandran Nagar,Not at All,Individual House,Average,Pathetic
12/1/2015 10:17:49,Kattankulathur,Average,Apartment,Bad,Average
12/1/2015 10:20:09,"Gandhinagar, Adyar",Average,Apartment,Not al All,Average
12/1/2015 10:40:29,Saidapet,Bad,Apartment,Average,Pathetic
12/1/2015 11:13:14,Ayyappanthangal,Bad,Apartment,Average,Average
12/1/2015 11:21:01,Kottivakkam,Bad,Apartment,Bad,Pathetic
12/1/2015 12:14:15,Chrompet,Average,Apartment,Average,Pathetic
12/1/2015 12:24:26,Villivakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 13:42:00,Triplicane,Average,Individual House,Bad,Average
12/1/2015 15:14:26,Choolaimedu,Average,Apartment,Average,Average
12/1/2015 17:07:52,Sowcarpet,Average,Apartment,Average,Pathetic
12/1/2015 17:08:56,"Madambakkam, Chennai ",Average,Apartment,Average,Pathetic
12/1/2015 17:09:35,VILLIVAKKAM ,Bad,Individual House,Bad,Pathetic
12/1/2015 17:09:58,Alwarpet,Average,Individual House,Average,Pathetic
12/1/2015 17:10:03,Kumanchavadi - poonamallee,Bad,Individual House,Bad,Pathetic
12/1/2015 17:10:57,Puzhuthivakkam,Average,Individual House,Average,Pathetic
12/1/2015 17:10:57,Puzhuthivakkam,Average,Individual House,Average,Pathetic
12/1/2015 17:11:34,Padi,Average,Individual House,Average,Average
12/1/2015 17:12:07,Mudichur,Bad,Apartment,Bad,Average
12/1/2015 17:12:34,Perambur,Average,Apartment,Not al All,Good
12/1/2015 17:13:04,Mylapore,Average,Individual House,Bad,Average
12/1/2015 17:13:38,Adambakkam,Average,Apartment,Not al All,Average
12/1/2015 17:13:50,perambur,Average,Individual House,Average,Average
12/1/2015 17:14:47,"thendral nagar,pattabiram,ch-72",Not at All,Individual House,Average,Pathetic
12/1/2015 17:14:50,krishna nagar,Bad,Individual House,Bad,Average
12/1/2015 17:15:06,Karapakam,Bad,Individual House,Bad,Pathetic
12/1/2015 17:15:33,Mylapore,Average,Individual House,Average,Average
12/1/2015 17:15:48,Periya panicherry,Average,Individual House,Average,Pathetic
12/1/2015 17:16:18,Mogappair East,Bad,Individual House,Bad,Average
12/1/2015 17:16:19,Madipakkam ram nagar,Bad,Apartment,Bad,Pathetic
12/1/2015 17:16:25,Pattabiram,Bad,Individual House,Bad,Pathetic
12/1/2015 17:16:27,KK NAGAR,Bad,Apartment,Bad,Average
12/1/2015 17:16:41,Pallikaranai,Average,Apartment,Average,Average
12/1/2015 17:16:52,Thiruvanmiyur - Thiruvalluvar Nagar,Not at All,Individual House,Not al All,Pathetic
12/1/2015 17:16:58,WEST MAMBALAM,Bad,Apartment,Average,Average
12/1/2015 17:17:04,adambakkam ,Average,Individual House,Not al All,Pathetic
12/1/2015 17:17:22,Ramalingapuram,Average,Individual House,Average,Average
12/1/2015 17:17:43,Medavakkam,Bad,Apartment,Average,Pathetic
12/1/2015 17:18:08,Adambakkam,Average,Individual House,Not al All,Good
12/1/2015 17:19:16,purasaiwalkam,Average,Apartment,Average,Pathetic
12/1/2015 17:19:24,perambur,Average,Individual House,Average,Pathetic
